,tracker_id,bbox_value,confidence,class_id
0,205,[     227.99      74.818      946.28      476.63],0.9503395,2
1,206,[     836.91           0      1250.3      128.25],0.9005351,2
2,207,[     1683.3      1.1858      1919.3      46.296],0.6317991,2
3,208,[    0.67326      846.41      313.65      1071.7],0.80144256,2
4,209,[   0.005888      236.28      86.843      477.02],0.7731364,2
5,,[    0.28551      343.52      83.293       634.4],0.30653152,3
6,210,[    0.28352      319.61      108.92      626.16],0.7842784,3
7,211,[    0.54199      266.93      229.61      577.94],0.53685975,2
8,214,[    0.12502      294.76      97.653      558.09],0.8156113,2
9,216,[    0.72926       916.5      358.12      1073.7],0.87014407,2
10,218,[     911.79      0.1869      1362.1      144.03],0.48856407,2
11,220,[    0.40798      235.25      83.105      466.26],0.6533993,2
12,221,[    0.31412      297.03      88.762      564.99],0.82143795,2
13,225,[     703.01      54.498      876.67      277.57],0.62486416,2
14,228,[   0.071274      447.12      121.03      738.11],0.6166996,2
15,229,[    0.43897      170.56       215.8       407.4],0.7961981,2
16,231,[    0.39202      902.64      175.65      1074.5],0.7754014,2
17,235,[   0.057106      453.09      90.191      730.35],0.6775424,2
18,237,[     1434.8           0      1686.5      63.505],0.5771689,2
19,238,[    0.22733      196.81      117.86      396.92],0.7352327,3
20,239,[    0.29133      388.87      97.148      656.43],0.8665903,2
21,240,[    0.43205      559.66      148.61      983.61],0.612386,2
22,243,[    0.64746      946.44      489.76      1074.1],0.8711962,2
23,244,[     341.64      1.5236        1089      194.34],0.41928357,2
24,246,[     791.95           0      1123.3      78.136],0.52274275,2
25,247,[     877.35           0      999.15      118.97],0.48829105,2
26,248,[    0.06423      263.51      74.064      535.54],0.7645893,2
27,249,[    0.30391      584.94       120.9      1034.4],0.8266686,2
28,252,[    0.33186      453.26      191.42       857.7],0.65290993,2
29,254,[  0.0056534      187.42      121.19      402.38],0.7053109,3
30,257,[   0.082266      199.67      86.761      404.01],0.7480236,3
31,259,[    0.15726      240.84      91.993      447.89],0.79525745,3
32,262,[   0.014826      254.17      74.812      428.57],0.72874016,3
33,265,[    0.56312         773      212.52      1070.8],0.7441604,2
34,268,[     799.95    0.069145      1374.3      263.22],0.4041218,2
35,270,[     1305.7           0      1681.9      78.843],0.49167448,2
36,271,[   0.031591      332.85      65.758      559.03],0.74584174,2
37,272,[    0.30249       471.3      135.21      812.18],0.9052757,2
